Name,2010-2014,2015-2017,2018-2020,2021+,2010-2014,2015-2017,2018-2020,2021+
Southern New Hampshire University,0,0,0,0,,,,
Southwest Minnesota State University,0,1,0,1,,,,
St. Thomas Aquinas College,0,-1,0,0,,,,
St. Thomas University,0,0,0,1,,,,
Stevens Institute of Technology,0,0,0,0,,,,
Stockton University,0,1,0,1,,,,
Syracuse University,0,1,0,0,,,,
Temple University,0,1,0,0,,,,
Tennessee State University,0,0,1,0,,,,
Texas Southern University,0,1,1,0,,,,
Texas State University,0,1,0,0,,,,
Texas Tech University,0,1,0,0,,,,
Texas Woman's University,0,0,0,0,,,,
The University of Texas at El Paso,0,0,1,0,,,,
Thomas Edison State University,0,1,0,0,,,,
Towson University,0,0,1,-1,,,,
Troy University,0,0,0,0,,,,
Tufts University,0,0,0,0,,,,
Union College,0,0,-1,0,,,,
Union College,0,0,-1,0,,,,
University of Alaska Anchorage,0,0,0,0,,,,
University of Alaska Fairbanks,0,0,0,0,,,,
University of Arizona,0,0,0,0,,,,
University of Arkansas,1,0,0,0,,,,
University of Central Arkansas,0,0,1,0,,,,
University of Central Florida,1,0,0,0,,,,
University of Central Missouri,0,0,0,0,,,,
University of Connecticut,0,0,0,0,,,,
University of Dayton,0,0,0,0,,,,
University of Delaware,0,0,0,0,,,,
University of Florida,0,0,0,0,,,,
University of Georgia,0,0,0,0,,,,
University of Hartford,0,0,0,0,,,,
University of Hawaii at Manoa,0,0,0,0,,,,
University of Idaho,0,0,0,0,,,,
University of Kansas,0,0,0,0,,,,
University of Kentucky,0,0,0,0,,,,
University of La Verne,0,0,0,0,,,,
University of Louisiana at Lafayette,0,0,0,1,,,,
University of Louisville,1,0,0,0,,,,
University of Maine,0,0,0,1,,,,
University of Maryland Global Campus,0,0,0,0,,,,
University of Memphis,0,0,0,1,,,,
University of Miami,0,0,0,0,,,,
University of Mount Union,0,0,0,1,,,,
University of New Orleans,0,0,0,0,,,,
University of North Carolina at Charlotte,0,1,0,0,,,,
University of North Carolina at Greensboro,0,0,0,0,,,,
University of North Carolina Wilmington,0,0,1,0,,,,
University of North Florida,0,0,1,1,,,,
University of North Texas,0,1,0,0,,,,
University of Portland,0,0,0,0,,,,
University of Rhode Island,0,0,0,0,,,,
University of Rochester,0,0,0,0,,,,
University of San Diego,0,0,1,0,,,,
University of San Francisco,0,0,0,0,,,,
University of South Florida,0,0,0,0,,,,
University of Southern California,0,0,0,0,,,,
University of Southern Indiana,0,1,0,0,,,,
University of Southern Mississippi,0,0,1,0,,,,
University of the People,0,0,1,1,,,,
University of Toledo,0,0,0,0,,,,
University of Utah,0,0,0,0,,,,
